Total untranslated: 1770

app.subtitle	ERP
nav.generators	Generators
nav.overview	Overview
nav.calculator	Calculator
nav.dispatch_board	Dispatcher Board
nav.driver_manager	Driver Manager
nav.maintenance_analytics	Maintenance Analytics
nav.maintenance_control	Maintenance Control
nav.tachograph	Tachograph
nav.group_overview	Overview
nav.group_operations	Operations
nav.group_fleet	Fleet
nav.group_finance	Finance
nav.clients	Clients
nav.documents	Document Center
nav.does_not_exist	Does Not Exist
nav.team	Team
nav.migration_center	Migration Center
nav.group_tools	Tools
nav.group_administration	Administration
migration.title	Migration Center
migration.subtitle	Import and export your data
migration.tab_software	Import from Software
migration.tab_physical	Physical Archive
migration.tab_emigrate	Export Data
team.title	Team Management
team.add_user	Add User
team.invite_subtitle	Invite a new team member
team.members_title	Team Members
team.members_subtitle	Manage existing users
team.email_label	EMAIL
team.password_label	PASSWORD
team.role_label	ROLE
team.link_driver_label	LINK DRIVER
team.role_dispatcher	Dispatcher
team.role_driver	Driver
team.col_email	Email
team.col_role	Role
team.col_status	Status
team.col_created	Created
team.col_actions	Actions
team.deactivate	Deactivate
team.validation_email_required	Email is required.
team.validation_password_required	Password is required.
team.success_user_added	User added successfully.
team.error_failed_add	Failed to add user: {}
team.error_failed_deactivate	Failed to deactivate user: {}
team.deactivate_confirm	Are you sure you want to deactivate {email}?
team.deactivate_title	Deactivate User
team.validation_title	Validation
team.email_required	Email is required.
team.password_required	Password is required.
team.deactivate_user	Deactivate User
team.deactivate_button	Deactivate
team.error_title	Error
team.no_api_client	No API client or database available.
team.success_title	Success
team.user_added	User added successfully.
team.add_user_failed	Failed to add user: {error}
team.deactivate_failed	Failed to deactivate user: {error}
main.vat_checkbox	Add VAT
main.offer_price_pre_vat	Price (before VAT):
main.offer_price_post_vat	Price (after VAT):
main.results_header	CALCULATION RESULT
main.empty_calc_title	Fill in the form to calculate profit
main.empty_calc_subtitle	Enter trip data and press Calculate.
main.result_revenue	Gross Revenue
main.result_cost	Total Cost
main.result_profit	Net Profit
main.result_rate	Rate / km
main.result_margin	Margin
main.module_not_migrated	{module}
(Module not yet migrated)
main.vat_percent_placeholder	VAT %
fleet.documents_button	Documents
fleet.select_truck_first	Select a truck first.
fleet.expense_default_category	General
fleet.table_driver	Driver
fleet.table_driver_unassigned	Unassigned
fleet.status_active	Active
fleet.status_unknown	Unknown
fleet.no_engine	No engine data
fleet.maint_kpi_alerts	Open Alerts
fleet.maint_kpi_cost_month	Cost/Month
fleet.maint_kpi_last_service	Last Service
fleet.maint_kpi_next_due	Next Due
fleet.maint_kpi_odometer	Odometer
fleet.maint_kpi_tacho	Tachograph
fleet.maint_kpi_title	Maintenance
fleet.maint_history_desc	Maintenance History
fleet.open_maintenance_manager	Open Maintenance
fleet.truck_title	Truck {}
fleet.kpi_alerts	Alerts
fleet.alert_format	[{type}] {msg}
fleet.detail_km	KM:
fleet.detail_vin	VIN:
fleet.form_km	KM:
fleet.form_model	Model:
fleet.form_vin	VIN:
fleet.table_model	Model
fleet.form_tracking_device_id	Tracking Device ID
history.button_excel	Excel
history.cancel_status	Cancel Status
history.confirm_status	Confirm Status
history.no_engine	No Engine
history.no_transitions	No Transitions
history.status_prompt	Status Prompt
history.transition_failed	Transition Failed
history.button_load_more	Load More
history.button_documents	Documents
history.col_data	Date
history.col_camion	Truck
history.col_driver	Driver
history.col_client	Client
history.col_km	Distance (km)
history.col_brut_km	€/km
history.col_profit	Profit
history.col_status	Status
history.email_done	Emailed
history.email_done_msg	Trip emailed successfully
history.invoice_done	Invoiced
history.invoice_done_msg	Invoice generated successfully
history.error	Error
history.search_placeholder	Search trips...
history.button_export_pdf	Export PDF
history.button_export_excel	Export Excel
history.button_email_invoice	Email Invoice
