admin.latency_ms	{value} ms
admin.query_placeholder	SELECT * FROM table LIMIT 100
analytics.col_km	KM
analytics.doc_cmrs	CMRs
analytics.group_total	Total
analytics.kpi_cmrs	CMRs
app.subtitle	ERP
auth.company_placeholder	Acme Inc.
auth.login_brand	Operion
auth.register_brand	Operion
automation.label_document	Doc #{}
automation.mode_simple	Simple
automation.processing_complete	Enhanced → {} ({} pages, {} images)
automation.scanned_title	Scanned — {}
automation.skip_package	Skip — Create Package
automation.tab_title	Automation
client.deactivate_button	Deactivate
client.deactivate_confirm	Deactivate '{name}'?
client.email_icon	✉
client.field_full_name	Full Name *
client.kpi_avg_profit	Avg Profit/Trip
client.merge_button	Merge
client.merge_execute	Execute Merge
client.merge_final_confirm	Merge all data from '{source}' into '{target}'?
client.merge_source	Merge from: {name}
client.merge_target_label	Into target client:
client.name_required	Name is required.
client.no_invoices	No outstanding invoices for this client.
client.no_trips	No trips found for this client.
client.phone	📞
client.section_kpis	KPIs
client.terms_days	Terms: {} days
cmr.add_successive_carrier	+ Add successive carrier
cmr.carrier_reservations_ro	REZERVARILE TRANSPORTATORULUI / RESERVES DU TRANSPORTEUR
cmr.carrier_ro	TRANSPORTATOR / TRANSPORTEUR
cmr.cod_ro	PLATA LA LIVRARE / REMBOURSEMENT
cmr.consignee_ro	DESTINATAR / CONSIGNATAIRE
cmr.consignor_ro	EXPEDITOR / EXPEDITEUR
cmr.destination_ro	LOCUL LIVRARII MARFII / LIEU DE LIVRAISON
cmr.distance_ro	DISTANTA / DISTANCE
cmr.documents_ro	DOCUMENTE ANEXATE / DOCUMENTS ANNEXES
cmr.eori	EORI:
cmr.payment_instruction_ro	MODALITATEA DE PLATA / INSTRUCTION DE PAIEMENT
cmr.place_of_loading_ro	LOCUL PREDARII MARFII / LIEU DE PRISE EN CHARGE
cmr.section_carrier	Carrier
cmr.sender_instructions_ro	INSTRUCTIUNILE EXPEDITORULUI / INSTRUCTIONS DE L'EXPEDITEUR
cmr.special_agreements_ro	INTELEGERI SPECIALE / CONVENTIONS SPECIALES
cmr.tel	Tel:
common.currency_eur	EUR
common.down	↓ Down
common.error	Error
common.id	ID
common.no	No
common.up	↑ Up
dispatch_board.alerts_panel_fully_assigned	Fully Assigned
dispatch_board.alerts_panel_no_alerts	No active alerts
dispatch_board.brief_needs_attention	Needs Attention
dispatch_board.brief_title	Today's Brief
dispatch_board.bulk_partial	Assigned to {ok} trips ({failed} blocked)
